 What is and/or was your current occupation, Please feel free to share any other comments or suggestions you have about the recruitment agency sector in Ghana,What is your age range?,What is your highest Level of Education,Have you ever used a recruitment agency service to help you find a job in Ghana?,"IF YOU HAVE EVER USED A RECRUITMENT AGENCY, when last did you use it?  was it within the last 3 months, 6 months, 12 months or 24 months?","IF YOU HAVE SUCCESSFULLY SECURED A JOB THROUGH A RECRUITMENT AGENCY, how long did it take for you to get a job? ( Please count the period from when you signed up with the recruitment agency and when you started your new job.)",Have you successfully secured a job through a recruitment agency?,What services were you most satisfied with? ,What were the biggest challenges you faced in using a recruitment agency?,"In your opinion, what specific improvements can recruitment agencies make to better serve job seekers?","On a scale of 1 to 10, how likely are you to recommend a recruitment agency service?",What is your gender?,"On a scale of 1 to 10,how satisfied were you with the services provided by the recruitment agency? ","On a scale of 1 to 10, what was your overall experience with the recruitment agency?","When searching for a job, what methods did you utilize in your search? ",What is your most utilized method when searching for a job? ,On a scale of 1 to 10  In your opinion how important are recruitment agencies  in Ghana? ,Are you currently employed?, What services were you least satisfied with?
Student,,18-24,High School Diploma,No,0- 3 months,,No,,,,3,Female,3,4,"Recruitment Agencies, Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Referrals from friends and Colleagues, Company Career Websites, Freelance platforms (e.g., Upwork, Freelancer), Professional associations or industry-specific websites.",,5,No,
student ,,18-24,Bachelor's Degree,Yes,7- 12 months,,No,,,,7,Female,8,6,"Recruitment Agencies, Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Networking events and career fairs, Referrals from friends and Colleagues, Company Career Websites, Freelance platforms (e.g., Upwork, Freelancer), Social media job postings (e.g., Facebook, Twitter)",,6,No,
Schooling,,18-24,Bachelor's Degree,No,0- 3 months,,No,Helping customers ,None,None,10,Female,10,9,Referrals from friends and Colleagues,,10,No,None
Student,,18-24,Bachelor's Degree,No,0- 3 months,,No,,The window to apply is very short.,,1,Male,1,1,"Recruitment Agencies, Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Company Career Websites",,1,No,
Student ,,18-24,Bachelor's Degree,No,0- 3 months,,No,,Their poor communication and feedback ,Replying back to emails rather than ignoring them. Advertising properly when they know they want ppl to come to their work place,1,Female,2,2,"Recruitment Agencies, Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Networking events and career fairs, Referrals from friends and Colleagues, Company Career Websites, Freelance platforms (e.g., Upwork, Freelancer), Social media job postings (e.g., Facebook, Twitter), Cold-calling or directly approaching companies, Professional associations or industry-specific websites.",,1,No,The way they run their organizations and the people 
intern at a tech firm,,18-24,High School Diploma,Yes,13- 24 months,4 months ,Yes,the working conditions ,the time it takes to find you a job and all the paper work you go through ,advertise it more and make their sites look less complicated to help everyone ,3,Female,8,6,"Recruitment Agencies, Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Freelance platforms (e.g., Upwork, Freelancer), Connections from my parents ",,9,Yes,i wasn’t dissatisfied with any service 
Marketing Intern,N/A,18-24,Bachelor's Degree,No,0- 3 months,N/A,No,N/A,N/A,,9,Female,5,5,"Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Networking events and career fairs, Company Career Websites",,10,Yes,N/A
IT Intern,I believe more recruitment agencies should advertise themselves to the general public as often as most banks do.,18-24,Bachelor's Degree,,,,No,Have not yet used a recruitment agency so I currently do not have much to say,Have not yet used a recruitment agency so I currently do not have much to say,I believe they should fully understand the job seeker in question since the person will have goals they want to accomplish,5,Male,5,5,"Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Networking events and career fairs, Referrals from friends and Colleagues, Social media job postings (e.g., Facebook, Twitter)",,8,Yes,Have not yet used a recruitment agency so I currently do not have much to say
Intern,,25-34,Bachelor's Degree,,,,No,,,,3,Male,1,5,"Social media job postings (e.g., Facebook, Twitter)",,5,No,
Not employed ,,18-24,Bachelor's Degree,Yes,13- 24 months,3 months ,Yes,Interpersonal ,,,5,Male,5,5,Referrals from friends and Colleagues,,7,No,
Assistant Lecturer ,N/A,25-34,Master's Degree,Yes,Longer than 2 years,,No,Their communication was top notch. ,I didn't have any personally. But u have heard hoe recruitment agencies in Ghans short change a lot of people regarding renumeration ,Be open and honest with kib seekers regarding renumeration ,8,Female,8,7,"Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Networking events and career fairs, Referrals from friends and Colleagues, Company Career Websites",,6,Yes,None 
Senior Accountant ,,35-44,ACCA,Yes,Longer than 2 years,,No,,,,5,Male,5,5,"Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Professional associations or industry-specific websites.",,5,Yes,
Student ,,18-24,Bachelor's Degree,,,,No,,,,9,Male,1,1,"Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Networking events and career fairs, Referrals from friends and Colleagues, Social media job postings (e.g., Facebook, Twitter), Cold-calling or directly approaching companies, Professional associations or industry-specific websites.",,1,No,
Student ,,18-24,High School Diploma,,,,No,,,,5,Female,5,5,"Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Social media job postings (e.g., Facebook, Twitter)",,5,No,
I’m a student,,18-24,Bachelor's Degree,,,,No,,,,6,Female,5,5,"Referrals from friends and Colleagues, Social media job postings (e.g., Facebook, Twitter)",,7,No,
N/A,,18-24,Bachelor's Degree,Yes,7- 12 months,N/A,No,,"The algorithms of recruitment websites like LinkedIn do not match you with appropriate recommendations for your career.

 Recruitment agencies require years of experience unavailable to fresh graduates ","1. Personified recruitment service delivery. Could be achieved through the creation of holistic applications that cover not only qualifications but interest of job applicants 
",4,Male,4,4,"Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Networking events and career fairs, Referrals from friends and Colleagues, Social media job postings (e.g., Facebook, Twitter), Professional associations or industry-specific websites.",,9,No,
Unemployed,,18-24,Master's Degree,No,0- 3 months,,No,,,,1,Female,5,5,"Recruitment Agencies, Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Networking events and career fairs, Referrals from friends and Colleagues, Company Career Websites, Cold-calling or directly approaching companies",,1,No,
Student,,18-24,Bachelor's Degree,No,,,No,,,,6,Female,5,6,"Online job boards (e.g., Jobberman, LinkedIn, Glassdoor), Referrals from friends and Colleagues, Social media job postings (e.g., Facebook, Twitter), Professional associations or industry-specific websites.",,9,No,
