TIMESTAMP,GENDER,AGE RANGE,EDUCATION LEVEL,JOB BOARD USAGE FREQUENCY,USED JOB BOARDS,OTHER JOB SEARCH SOURCES,INTERESTED INDUSTRIES,JOB BOARD SUCCESS RATING,SUCCESSFUL JOB BOARD EMPLOYMENT,REASONS FOR JOB BOARD SELECTION,PROFILE/RESUME UPDATING FREQUENCY,ENCOUNTERED FRAUDULENT JOB POSTINGS,REASONS FOR ENCOUNTERING FRAUDULENT JOB POSTINGS,CRITERIA FOR JOB BOARD SELECTION,JOB BOARD EFFICIENCY RATING,JOB POSTING QUALITY RATING,JOB BOARDS AND YOUTH UNEMPLOYMENT,LIKELIHOOD TO RECOMMEND JOB BOARDS,UN_NAMED19,UN_NAMED20,UN_NAMED21
2023/08/07 12:26:18 PM GMT,Male,25-34,Bachelor's Degree,Rarely or never,LinkedIn,Employee Referrals,Commerce,3,No,,Occasionally (every few months),Yes,The one I encountered was clearly a scam,Requirements and Salary ,6,6,,5,No,,b) Occasionally (every few months)
2023/08/07 12:49:12 PM GMT,Male,18-24,Bachelor's Degree,Weekly,LinkedIn,Social media,Technology Industry,3,No,I haven't secured one,Rarely (once or twice a year),No,I have not encountered any,"work environment(remote, hybrid, in-person), money, industry",7,7,they aid in curbing that issue,5,,,
2023/08/07 12:49:30 PM GMT,Female,18-24,Bachelor's Degree,Rarely or never,LinkedIn,Social media,Oil and gas ,5,No,I just found out about it ,I have not updated my profile/resume,No,I haven’t used it before ,Distance and work culture ,2,1,Create more awareness on Job boards,4,,,
2023/08/09 1:15:12 PM GMT,Female,18-24,Bachelor's Degree,Rarely or never,Bright Network and Opportunities Corner,Company Websites,"Finance, and Research institutes ",3,No,"No, because i do not use job boards for employment in Ghana",Regularly (at least once a month),No,No because i always do extensive search on the specific sites of the job board,Their population of job seekers and if the job board provides jobs that fit my preference,4,5,Alot of individuals do not use job boards and as such i do not think job boards contribute much to the Ghana unemployment space,6,,,
2023/08/10 10:19:46 AM GMT,Male,18-24,Bachelor's Degree,Daily,LinkedIn,Career Fairs and Networking Events,Tech Industries ,2,No,No feedback ,Rarely (once or twice a year),Yes,Fake job postings ,Job Description and financial compenstations,5,6,they don't play too much of a factor ,7,,,
2023/08/10 10:36:36 AM GMT,Male,18-24,Bachelor's Degree,Rarely or never,LinkedIn,Career Fairs and Networking Events,Social Ghana,3,No,The companies are not very responsive on those pages,Regularly (at least once a month),No,I don't have an explanation ,Responsiveness of companies on there ,5,5,"It does not do much. They are still sort of forced to embark on the inperson approach to secure a job, in a lot of cases.",5,,,
2023/08/10 10:38:05 AM GMT,Male,18-24,Bachelor's Degree,Weekly,LinkedIn,Career Fairs and Networking Events,Finance,4,Yes,Got a job,Occasionally (every few months),No,I haven’t,Job description and pay,6,4,They kinda help. Better than nothing,8,,,
2023/08/10 10:40:04 AM GMT,Male,18-24,Bachelor's Degree,Monthly,LinkedIn,Company Websites,Renewable Energy Analytics and Strategy,1,No,It didn't work. I followed the instructions but didn't get a response from the organisation I applied to ,Regularly (at least once a month),No,Might be because I mainly stick to linkedIn and other trustworthy sources,"Reputation, popularity, reliability",1,5,It makes finding job openings much easier. I may not apply through them anymore but just to know available jobs and then do my own enquiries ,6,,,
2023/08/10 10:40:31 AM GMT,Male,18-24,Bachelor's Degree,Monthly,LinkedIn,Employee Referrals,"Oil and Gas, Electric Vehicles, Aerospace",2,Yes,"The big companies usually do well with the job boards, small companies a lot of times do not respond at all. ",Regularly (at least once a month),No,"For me I am particular picky about the company I would work for so I research the company before applying. There are a lot of sketchy companies with almost no profile online, so I don't risk applying there. ","Compensation, Reputation, Very skilled employees",3,6,"They haven't changed the narrative that much. Most of the job market is through employee referrals and almost always those who apply through these boards can't compete with those with employee referrals, this is most especially seen when the is a very limited number for the post. Job boards are not completely useless, but it is very far from being as effective as it is supposed to be. I would still recommend job boards because it is better to try that than sit at home and do nothing. ",10,,,
2023/08/10 10:41:46 AM GMT,Male,18-24,Bachelor's Degree,Rarely or never,LinkedIn,Career Fairs and Networking Events,Engineering and Industry,3,No,I have never used job boards ,Occasionally (every few months),No,I don’t use job boards,The job should be very trustworthy and not post misleading job opportunities ,5,5,If all job openings are posted on job boards Ghanaian youth that job boards would have a better chance of securing a job ,5,,,
